Series;Time;Value
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:47:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:48:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:48:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:48:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:49:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:49:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:49:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:50:00-04:00;25.25
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:50:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:50:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:51:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:51:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:51:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:52:00-04:00;25.187
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:52:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:52:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:53:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:53:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:53:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:54:00-04:00;25.125
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:54:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:54:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:55:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:55:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:55:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:56:00-04:00;25.062
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:56:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:56:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:57:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:57:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:57:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:58:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:58:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:58:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:59:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:59:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T06:59:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:00:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:00:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:00:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:01:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:01:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:01:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:02:00-04:00;25.125
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:02:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:02:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:03:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:03:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:03:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:04:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:04:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:04:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:05:00-04:00;25.187
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:05:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:05:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:06:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:06:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:06:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:07:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:07:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:07:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:08:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:08:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:08:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:09:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:09:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:09:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:10:00-04:00;25.25
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:10:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:10:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:11:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:11:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:11:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:12:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:12:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:12:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:13:00-04:00;25.312
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:13:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:13:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:14:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:14:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:14:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:15:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:15:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:15:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:16:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:16:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:16:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:17:00-04:00;25.375
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:17:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:17:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:18:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:18:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:18:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:19:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:19:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:19:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:20:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:20:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:20:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:21:00-04:00;25.437
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:21:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:21:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:22:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:22:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:22:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:23:00-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:23:20-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:23:40-04:00;null
°C.mean {entity_id: bedroom_temperature_sensor};2017-06-26T07:24:00-04:00;null
