Series;Time;Value
Living Room Sensor;2016-09-02T01:42:30.000Z;null
Living Room Sensor;2016-09-02T01:42:40.000Z;null
Living Room Sensor;2016-09-02T01:42:50.000Z;null
Living Room Sensor;2016-09-02T01:43:00.000Z;null
Living Room Sensor;2016-09-02T01:43:10.000Z;null
Living Room Sensor;2016-09-02T01:43:20.000Z;null
Living Room Sensor;2016-09-02T01:43:30.000Z;null
Living Room Sensor;2016-09-02T01:43:40.000Z;null
Living Room Sensor;2016-09-02T01:43:50.000Z;null
Living Room Sensor;2016-09-02T01:44:00.000Z;null
Living Room Sensor;2016-09-02T01:44:10.000Z;null
Living Room Sensor;2016-09-02T01:44:20.000Z;null
Living Room Sensor;2016-09-02T01:44:30.000Z;26.3
Living Room Sensor;2016-09-02T01:44:40.000Z;null
Living Room Sensor;2016-09-02T01:44:50.000Z;null
Living Room Sensor;2016-09-02T01:45:00.000Z;null
Living Room Sensor;2016-09-02T01:45:10.000Z;null
Living Room Sensor;2016-09-02T01:45:20.000Z;null
Living Room Sensor;2016-09-02T01:45:30.000Z;null
Living Room Sensor;2016-09-02T01:45:40.000Z;null
Living Room Sensor;2016-09-02T01:45:50.000Z;null
Living Room Sensor;2016-09-02T01:46:00.000Z;null
Living Room Sensor;2016-09-02T01:46:10.000Z;null
Living Room Sensor;2016-09-02T01:46:20.000Z;null
Living Room Sensor;2016-09-02T01:46:30.000Z;26.1
Living Room Sensor;2016-09-02T01:46:40.000Z;null
Living Room Sensor;2016-09-02T01:46:50.000Z;null
Living Room Sensor;2016-09-02T01:47:00.000Z;null
Living Room Sensor;2016-09-02T01:47:10.000Z;null
Living Room Sensor;2016-09-02T01:47:20.000Z;null
Living Room Sensor;2016-09-02T01:47:30.000Z;null
Living Room Sensor;2016-09-02T01:47:40.000Z;null
Living Room Sensor;2016-09-02T01:47:50.000Z;null
Living Room Sensor;2016-09-02T01:48:00.000Z;null
Living Room Sensor;2016-09-02T01:48:10.000Z;null
Living Room Sensor;2016-09-02T01:48:20.000Z;null
Living Room Sensor;2016-09-02T01:48:30.000Z;25.8
Living Room Sensor;2016-09-02T01:48:40.000Z;null
Living Room Sensor;2016-09-02T01:48:50.000Z;null
Living Room Sensor;2016-09-02T01:49:00.000Z;null
Living Room Sensor;2016-09-02T01:49:10.000Z;null
Living Room Sensor;2016-09-02T01:49:20.000Z;null
Living Room Sensor;2016-09-02T01:49:30.000Z;null
Living Room Sensor;2016-09-02T01:49:40.000Z;null
Living Room Sensor;2016-09-02T01:49:50.000Z;null
Living Room Sensor;2016-09-02T01:50:00.000Z;null
Living Room Sensor;2016-09-02T01:50:10.000Z;null
Living Room Sensor;2016-09-02T01:50:20.000Z;null
Living Room Sensor;2016-09-02T01:50:30.000Z;25.7
Living Room Sensor;2016-09-02T01:50:40.000Z;null
Living Room Sensor;2016-09-02T01:50:50.000Z;null
Living Room Sensor;2016-09-02T01:51:00.000Z;null
Living Room Sensor;2016-09-02T01:51:10.000Z;null
Living Room Sensor;2016-09-02T01:51:20.000Z;null
Living Room Sensor;2016-09-02T01:51:30.000Z;null
Living Room Sensor;2016-09-02T01:51:40.000Z;null
Living Room Sensor;2016-09-02T01:51:50.000Z;null
Living Room Sensor;2016-09-02T01:52:00.000Z;null
Living Room Sensor;2016-09-02T01:52:10.000Z;null
Living Room Sensor;2016-09-02T01:52:20.000Z;null
Living Room Sensor;2016-09-02T01:52:30.000Z;null
Living Room Sensor;2016-09-02T01:52:40.000Z;25.6
Living Room Sensor;2016-09-02T01:52:50.000Z;null
Living Room Sensor;2016-09-02T01:53:00.000Z;null
Living Room Sensor;2016-09-02T01:53:10.000Z;null
Living Room Sensor;2016-09-02T01:53:20.000Z;null
Living Room Sensor;2016-09-02T01:53:30.000Z;null
Living Room Sensor;2016-09-02T01:53:40.000Z;null
Living Room Sensor;2016-09-02T01:53:50.000Z;null
Living Room Sensor;2016-09-02T01:54:00.000Z;null
Living Room Sensor;2016-09-02T01:54:10.000Z;null
Living Room Sensor;2016-09-02T01:54:20.000Z;null
Living Room Sensor;2016-09-02T01:54:30.000Z;null
Living Room Sensor;2016-09-02T01:54:40.000Z;null
Living Room Sensor;2016-09-02T01:54:50.000Z;null
Living Room Sensor;2016-09-02T01:55:00.000Z;null
Living Room Sensor;2016-09-02T01:55:10.000Z;null
Living Room Sensor;2016-09-02T01:55:20.000Z;null
Living Room Sensor;2016-09-02T01:55:30.000Z;null
Living Room Sensor;2016-09-02T01:55:40.000Z;null
Living Room Sensor;2016-09-02T01:55:50.000Z;null
Living Room Sensor;2016-09-02T01:56:00.000Z;null
Living Room Sensor;2016-09-02T01:56:10.000Z;null
Living Room Sensor;2016-09-02T01:56:20.000Z;null
Living Room Sensor;2016-09-02T01:56:30.000Z;null
Living Room Sensor;2016-09-02T01:56:40.000Z;25.5
Living Room Sensor;2016-09-02T01:56:50.000Z;null
Living Room Sensor;2016-09-02T01:57:00.000Z;null
Living Room Sensor;2016-09-02T01:57:10.000Z;null
Living Room Sensor;2016-09-02T01:57:20.000Z;null
Living Room Sensor;2016-09-02T01:57:30.000Z;null
Living Room Sensor;2016-09-02T01:57:40.000Z;null
Living Room Sensor;2016-09-02T01:57:50.000Z;null
Living Room Sensor;2016-09-02T01:58:00.000Z;null
Living Room Sensor;2016-09-02T01:58:10.000Z;null
Living Room Sensor;2016-09-02T01:58:20.000Z;null
Living Room Sensor;2016-09-02T01:58:30.000Z;null
Living Room Sensor;2016-09-02T01:58:40.000Z;25.4
Living Room Sensor;2016-09-02T01:58:50.000Z;null
Living Room Sensor;2016-09-02T01:59:00.000Z;null
Living Room Sensor;2016-09-02T01:59:10.000Z;null
Living Room Sensor;2016-09-02T01:59:20.000Z;null
Living Room Sensor;2016-09-02T01:59:30.000Z;null
Living Room Sensor;2016-09-02T01:59:40.000Z;null
Living Room Sensor;2016-09-02T01:59:50.000Z;null
Living Room Sensor;2016-09-02T02:00:00.000Z;null
Living Room Sensor;2016-09-02T02:00:10.000Z;null
Living Room Sensor;2016-09-02T02:00:20.000Z;null
Living Room Sensor;2016-09-02T02:00:30.000Z;null
Living Room Sensor;2016-09-02T02:00:40.000Z;null
Living Room Sensor;2016-09-02T02:00:50.000Z;null
Living Room Sensor;2016-09-02T02:01:00.000Z;null
Living Room Sensor;2016-09-02T02:01:10.000Z;null
Living Room Sensor;2016-09-02T02:01:20.000Z;null
Living Room Sensor;2016-09-02T02:01:30.000Z;null
Living Room Sensor;2016-09-02T02:01:40.000Z;null
Living Room Sensor;2016-09-02T02:01:50.000Z;null
Living Room Sensor;2016-09-02T02:02:00.000Z;null
Living Room Sensor;2016-09-02T02:02:10.000Z;null
Living Room Sensor;2016-09-02T02:02:20.000Z;null
Living Room Sensor;2016-09-02T02:02:30.000Z;null
Living Room Sensor;2016-09-02T02:02:40.000Z;25.3
Living Room Sensor;2016-09-02T02:02:50.000Z;null
Living Room Sensor;2016-09-02T02:03:00.000Z;null
Living Room Sensor;2016-09-02T02:03:10.000Z;null
Living Room Sensor;2016-09-02T02:03:20.000Z;null
Living Room Sensor;2016-09-02T02:03:30.000Z;null
Living Room Sensor;2016-09-02T02:03:40.000Z;null
Living Room Sensor;2016-09-02T02:03:50.000Z;null
Living Room Sensor;2016-09-02T02:04:00.000Z;null
Living Room Sensor;2016-09-02T02:04:10.000Z;null
Living Room Sensor;2016-09-02T02:04:20.000Z;null
Living Room Sensor;2016-09-02T02:04:30.000Z;null
Living Room Sensor;2016-09-02T02:04:40.000Z;25.2
Living Room Sensor;2016-09-02T02:04:50.000Z;null
Living Room Sensor;2016-09-02T02:05:00.000Z;null
Living Room Sensor;2016-09-02T02:05:10.000Z;null
Living Room Sensor;2016-09-02T02:05:20.000Z;null
Living Room Sensor;2016-09-02T02:05:30.000Z;null
Living Room Sensor;2016-09-02T02:05:40.000Z;null
Living Room Sensor;2016-09-02T02:05:50.000Z;null
Living Room Sensor;2016-09-02T02:06:00.000Z;null
Living Room Sensor;2016-09-02T02:06:10.000Z;null
Living Room Sensor;2016-09-02T02:06:20.000Z;null
Living Room Sensor;2016-09-02T02:06:30.000Z;null
Living Room Sensor;2016-09-02T02:06:40.000Z;null
Living Room Sensor;2016-09-02T02:06:50.000Z;25.3
Living Room Sensor;2016-09-02T02:07:00.000Z;null
Living Room Sensor;2016-09-02T02:07:10.000Z;null
Living Room Sensor;2016-09-02T02:07:20.000Z;null
Living Room Sensor;2016-09-02T02:07:30.000Z;null
Living Room Sensor;2016-09-02T02:07:40.000Z;null
Living Room Sensor;2016-09-02T02:07:50.000Z;null
Living Room Sensor;2016-09-02T02:08:00.000Z;null
Living Room Sensor;2016-09-02T02:08:10.000Z;null
Living Room Sensor;2016-09-02T02:08:20.000Z;null
Living Room Sensor;2016-09-02T02:08:30.000Z;null
Living Room Sensor;2016-09-02T02:08:40.000Z;null
Living Room Sensor;2016-09-02T02:08:50.000Z;25.4
Living Room Sensor;2016-09-02T02:09:00.000Z;null
Living Room Sensor;2016-09-02T02:09:10.000Z;null
Living Room Sensor;2016-09-02T02:09:20.000Z;null
Living Room Sensor;2016-09-02T02:09:30.000Z;null
Living Room Sensor;2016-09-02T02:09:40.000Z;null
Living Room Sensor;2016-09-02T02:09:50.000Z;null
Living Room Sensor;2016-09-02T02:10:00.000Z;null
Living Room Sensor;2016-09-02T02:10:10.000Z;null
Living Room Sensor;2016-09-02T02:10:20.000Z;null
Living Room Sensor;2016-09-02T02:10:30.000Z;null
Living Room Sensor;2016-09-02T02:10:40.000Z;null
Living Room Sensor;2016-09-02T02:10:50.000Z;25.7
Living Room Sensor;2016-09-02T02:11:00.000Z;null
Living Room Sensor;2016-09-02T02:11:10.000Z;null
Living Room Sensor;2016-09-02T02:11:20.000Z;null
Living Room Sensor;2016-09-02T02:11:30.000Z;null
Living Room Sensor;2016-09-02T02:11:40.000Z;null
Living Room Sensor;2016-09-02T02:11:50.000Z;null
Living Room Sensor;2016-09-02T02:12:00.000Z;null
Living Room Sensor;2016-09-02T02:12:10.000Z;null
Living Room Sensor;2016-09-02T02:12:20.000Z;null
Living Room Sensor;2016-09-02T02:12:30.000Z;null
Living Room Sensor;2016-09-02T02:12:40.000Z;null
Living Room Sensor;2016-09-02T02:12:50.000Z;25.8
Living Room Sensor;2016-09-02T02:13:00.000Z;null
Living Room Sensor;2016-09-02T02:13:10.000Z;null
Living Room Sensor;2016-09-02T02:13:20.000Z;null
Living Room Sensor;2016-09-02T02:13:30.000Z;null
Living Room Sensor;2016-09-02T02:13:40.000Z;null
Living Room Sensor;2016-09-02T02:13:50.000Z;null
Living Room Sensor;2016-09-02T02:14:00.000Z;null
Living Room Sensor;2016-09-02T02:14:10.000Z;null
Living Room Sensor;2016-09-02T02:14:20.000Z;null
Living Room Sensor;2016-09-02T02:14:30.000Z;null
Living Room Sensor;2016-09-02T02:14:40.000Z;null
Living Room Sensor;2016-09-02T02:14:50.000Z;25.9
Living Room Sensor;2016-09-02T02:15:00.000Z;null
Living Room Sensor;2016-09-02T02:15:10.000Z;null
Living Room Sensor;2016-09-02T02:15:20.000Z;null
Living Room Sensor;2016-09-02T02:15:30.000Z;null
Living Room Sensor;2016-09-02T02:15:40.000Z;null
Living Room Sensor;2016-09-02T02:15:50.000Z;null
Living Room Sensor;2016-09-02T02:16:00.000Z;null
Living Room Sensor;2016-09-02T02:16:10.000Z;null
Living Room Sensor;2016-09-02T02:16:20.000Z;null
Living Room Sensor;2016-09-02T02:16:30.000Z;null
Living Room Sensor;2016-09-02T02:16:40.000Z;null
Living Room Sensor;2016-09-02T02:16:50.000Z;26
Living Room Sensor;2016-09-02T02:17:00.000Z;null
Living Room Sensor;2016-09-02T02:17:10.000Z;null
Living Room Sensor;2016-09-02T02:17:20.000Z;null
Living Room Sensor;2016-09-02T02:17:30.000Z;null
Living Room Sensor;2016-09-02T02:17:40.000Z;null
Living Room Sensor;2016-09-02T02:17:50.000Z;null
Living Room Sensor;2016-09-02T02:18:00.000Z;null
Living Room Sensor;2016-09-02T02:18:10.000Z;null
Living Room Sensor;2016-09-02T02:18:20.000Z;null
Living Room Sensor;2016-09-02T02:18:30.000Z;null
Living Room Sensor;2016-09-02T02:18:40.000Z;null
Living Room Sensor;2016-09-02T02:18:50.000Z;null
Living Room Sensor;2016-09-02T02:19:00.000Z;26.1
Living Room Sensor;2016-09-02T02:19:10.000Z;null
Living Room Sensor;2016-09-02T02:19:20.000Z;null
Living Room Sensor;2016-09-02T02:19:30.000Z;null
Living Room Sensor;2016-09-02T02:19:40.000Z;null
Living Room Sensor;2016-09-02T02:19:50.000Z;null
Living Room Sensor;2016-09-02T02:20:00.000Z;null
Living Room Sensor;2016-09-02T02:20:10.000Z;null
Living Room Sensor;2016-09-02T02:20:20.000Z;null
Living Room Sensor;2016-09-02T02:20:30.000Z;null
Living Room Sensor;2016-09-02T02:20:40.000Z;null
Living Room Sensor;2016-09-02T02:20:50.000Z;null
Living Room Sensor;2016-09-02T02:21:00.000Z;null
Living Room Sensor;2016-09-02T02:21:10.000Z;null
Living Room Sensor;2016-09-02T02:21:20.000Z;null
Living Room Sensor;2016-09-02T02:21:30.000Z;null
Living Room Sensor;2016-09-02T02:21:40.000Z;null
Living Room Sensor;2016-09-02T02:21:50.000Z;null
Living Room Sensor;2016-09-02T02:22:00.000Z;null
Living Room Sensor;2016-09-02T02:22:10.000Z;null
Living Room Sensor;2016-09-02T02:22:20.000Z;null
Living Room Sensor;2016-09-02T02:22:30.000Z;null
Living Room Sensor;2016-09-02T02:22:40.000Z;null
Living Room Sensor;2016-09-02T02:22:50.000Z;null
Living Room Sensor;2016-09-02T02:23:00.000Z;26.2
Living Room Sensor;2016-09-02T02:23:10.000Z;null
Living Room Sensor;2016-09-02T02:23:20.000Z;null
Living Room Sensor;2016-09-02T02:23:30.000Z;null
Living Room Sensor;2016-09-02T02:23:40.000Z;null
Living Room Sensor;2016-09-02T02:23:50.000Z;null
Living Room Sensor;2016-09-02T02:24:00.000Z;null
Living Room Sensor;2016-09-02T02:24:10.000Z;null
Living Room Sensor;2016-09-02T02:24:20.000Z;null
Living Room Sensor;2016-09-02T02:24:30.000Z;null
Living Room Sensor;2016-09-02T02:24:40.000Z;null
Living Room Sensor;2016-09-02T02:24:50.000Z;null
Living Room Sensor;2016-09-02T02:25:00.000Z;null
Living Room Sensor;2016-09-02T02:25:10.000Z;null
Living Room Sensor;2016-09-02T02:25:20.000Z;null
Living Room Sensor;2016-09-02T02:25:30.000Z;null
Living Room Sensor;2016-09-02T02:25:40.000Z;null
Living Room Sensor;2016-09-02T02:25:50.000Z;null
Living Room Sensor;2016-09-02T02:26:00.000Z;null
Living Room Sensor;2016-09-02T02:26:10.000Z;null
Living Room Sensor;2016-09-02T02:26:20.000Z;null
Living Room Sensor;2016-09-02T02:26:30.000Z;null
Living Room Sensor;2016-09-02T02:26:40.000Z;null
Living Room Sensor;2016-09-02T02:26:50.000Z;null
Living Room Sensor;2016-09-02T02:27:00.000Z;null
Living Room Sensor;2016-09-02T02:27:10.000Z;null
Living Room Sensor;2016-09-02T02:27:20.000Z;null
Living Room Sensor;2016-09-02T02:27:30.000Z;null
Living Room Sensor;2016-09-02T02:27:40.000Z;null
Living Room Sensor;2016-09-02T02:27:50.000Z;null
Living Room Sensor;2016-09-02T02:28:00.000Z;null
Living Room Sensor;2016-09-02T02:28:10.000Z;null
Living Room Sensor;2016-09-02T02:28:20.000Z;null
Living Room Sensor;2016-09-02T02:28:30.000Z;null
Living Room Sensor;2016-09-02T02:28:40.000Z;null
Living Room Sensor;2016-09-02T02:28:50.000Z;null
Living Room Sensor;2016-09-02T02:29:00.000Z;26.3
Living Room Sensor;2016-09-02T02:29:10.000Z;null
Living Room Sensor;2016-09-02T02:29:20.000Z;null
Living Room Sensor;2016-09-02T02:29:30.000Z;null
Living Room Sensor;2016-09-02T02:29:40.000Z;null
Living Room Sensor;2016-09-02T02:29:50.000Z;null
Living Room Sensor;2016-09-02T02:30:00.000Z;null
Living Room Sensor;2016-09-02T02:30:10.000Z;null
Living Room Sensor;2016-09-02T02:30:20.000Z;null
Living Room Sensor;2016-09-02T02:30:30.000Z;null
Living Room Sensor;2016-09-02T02:30:40.000Z;null
Living Room Sensor;2016-09-02T02:30:50.000Z;null
Living Room Sensor;2016-09-02T02:31:00.000Z;26.2
Living Room Sensor;2016-09-02T02:31:10.000Z;null
Living Room Sensor;2016-09-02T02:31:20.000Z;null
Living Room Sensor;2016-09-02T02:31:30.000Z;null
Living Room Sensor;2016-09-02T02:31:40.000Z;null
Living Room Sensor;2016-09-02T02:31:50.000Z;null
Living Room Sensor;2016-09-02T02:32:00.000Z;null
Living Room Sensor;2016-09-02T02:32:10.000Z;null
Living Room Sensor;2016-09-02T02:32:20.000Z;null
Living Room Sensor;2016-09-02T02:32:30.000Z;null
Living Room Sensor;2016-09-02T02:32:40.000Z;null
Living Room Sensor;2016-09-02T02:32:50.000Z;null
Living Room Sensor;2016-09-02T02:33:00.000Z;null
Living Room Sensor;2016-09-02T02:33:10.000Z;25.8
Living Room Sensor;2016-09-02T02:33:20.000Z;null
Living Room Sensor;2016-09-02T02:33:30.000Z;null
Living Room Sensor;2016-09-02T02:33:40.000Z;null
Living Room Sensor;2016-09-02T02:33:50.000Z;null
Living Room Sensor;2016-09-02T02:34:00.000Z;null
Living Room Sensor;2016-09-02T02:34:10.000Z;null
Living Room Sensor;2016-09-02T02:34:20.000Z;null
Living Room Sensor;2016-09-02T02:34:30.000Z;null
Living Room Sensor;2016-09-02T02:34:40.000Z;null
Living Room Sensor;2016-09-02T02:34:50.000Z;null
Living Room Sensor;2016-09-02T02:35:00.000Z;null
Living Room Sensor;2016-09-02T02:35:10.000Z;25.6
Living Room Sensor;2016-09-02T02:35:20.000Z;null
Living Room Sensor;2016-09-02T02:35:30.000Z;null
Living Room Sensor;2016-09-02T02:35:40.000Z;null
Living Room Sensor;2016-09-02T02:35:50.000Z;null
