Series;Time;Value
Living Room Sensor;2016-08-03T18:40:30.000Z;null
Living Room Sensor;2016-08-03T18:40:40.000Z;null
Living Room Sensor;2016-08-03T18:40:50.000Z;null
Living Room Sensor;2016-08-03T18:41:00.000Z;null
Living Room Sensor;2016-08-03T18:41:10.000Z;null
Living Room Sensor;2016-08-03T18:41:20.000Z;null
Living Room Sensor;2016-08-03T18:41:30.000Z;null
Living Room Sensor;2016-08-03T18:41:40.000Z;null
Living Room Sensor;2016-08-03T18:41:50.000Z;null
Living Room Sensor;2016-08-03T18:42:00.000Z;null
Living Room Sensor;2016-08-03T18:42:10.000Z;null
Living Room Sensor;2016-08-03T18:42:20.000Z;null
Living Room Sensor;2016-08-03T18:42:30.000Z;25.3
Living Room Sensor;2016-08-03T18:42:40.000Z;null
Living Room Sensor;2016-08-03T18:42:50.000Z;null
Living Room Sensor;2016-08-03T18:43:00.000Z;null
Living Room Sensor;2016-08-03T18:43:10.000Z;null
Living Room Sensor;2016-08-03T18:43:20.000Z;null
Living Room Sensor;2016-08-03T18:43:30.000Z;null
Living Room Sensor;2016-08-03T18:43:40.000Z;null
Living Room Sensor;2016-08-03T18:43:50.000Z;null
Living Room Sensor;2016-08-03T18:44:00.000Z;null
Living Room Sensor;2016-08-03T18:44:10.000Z;null
Living Room Sensor;2016-08-03T18:44:20.000Z;null
Living Room Sensor;2016-08-03T18:44:30.000Z;25.1
Living Room Sensor;2016-08-03T18:44:40.000Z;null
Living Room Sensor;2016-08-03T18:44:50.000Z;null
Living Room Sensor;2016-08-03T18:45:00.000Z;null
Living Room Sensor;2016-08-03T18:45:10.000Z;null
Living Room Sensor;2016-08-03T18:45:20.000Z;null
Living Room Sensor;2016-08-03T18:45:30.000Z;null
Living Room Sensor;2016-08-03T18:45:40.000Z;null
Living Room Sensor;2016-08-03T18:45:50.000Z;null
Living Room Sensor;2016-08-03T18:46:00.000Z;null
Living Room Sensor;2016-08-03T18:46:10.000Z;null
Living Room Sensor;2016-08-03T18:46:20.000Z;null
Living Room Sensor;2016-08-03T18:46:30.000Z;25.2
Living Room Sensor;2016-08-03T18:46:40.000Z;null
Living Room Sensor;2016-08-03T18:46:50.000Z;null
Living Room Sensor;2016-08-03T18:47:00.000Z;null
Living Room Sensor;2016-08-03T18:47:10.000Z;null
Living Room Sensor;2016-08-03T18:47:20.000Z;null
Living Room Sensor;2016-08-03T18:47:30.000Z;null
Living Room Sensor;2016-08-03T18:47:40.000Z;null
Living Room Sensor;2016-08-03T18:47:50.000Z;null
Living Room Sensor;2016-08-03T18:48:00.000Z;null
Living Room Sensor;2016-08-03T18:48:10.000Z;null
Living Room Sensor;2016-08-03T18:48:20.000Z;null
Living Room Sensor;2016-08-03T18:48:30.000Z;25.4
Living Room Sensor;2016-08-03T18:48:40.000Z;null
Living Room Sensor;2016-08-03T18:48:50.000Z;null
Living Room Sensor;2016-08-03T18:49:00.000Z;null
Living Room Sensor;2016-08-03T18:49:10.000Z;null
Living Room Sensor;2016-08-03T18:49:20.000Z;null
Living Room Sensor;2016-08-03T18:49:30.000Z;null
Living Room Sensor;2016-08-03T18:49:40.000Z;null
Living Room Sensor;2016-08-03T18:49:50.000Z;null
Living Room Sensor;2016-08-03T18:50:00.000Z;null
Living Room Sensor;2016-08-03T18:50:10.000Z;null
Living Room Sensor;2016-08-03T18:50:20.000Z;null
Living Room Sensor;2016-08-03T18:50:30.000Z;25.5
Living Room Sensor;2016-08-03T18:50:40.000Z;null
Living Room Sensor;2016-08-03T18:50:50.000Z;null
Living Room Sensor;2016-08-03T18:51:00.000Z;null
Living Room Sensor;2016-08-03T18:51:10.000Z;null
Living Room Sensor;2016-08-03T18:51:20.000Z;null
Living Room Sensor;2016-08-03T18:51:30.000Z;null
Living Room Sensor;2016-08-03T18:51:40.000Z;null
Living Room Sensor;2016-08-03T18:51:50.000Z;null
Living Room Sensor;2016-08-03T18:52:00.000Z;null
Living Room Sensor;2016-08-03T18:52:10.000Z;null
Living Room Sensor;2016-08-03T18:52:20.000Z;null
Living Room Sensor;2016-08-03T18:52:30.000Z;25.4
Living Room Sensor;2016-08-03T18:52:40.000Z;null
Living Room Sensor;2016-08-03T18:52:50.000Z;null
Living Room Sensor;2016-08-03T18:53:00.000Z;null
Living Room Sensor;2016-08-03T18:53:10.000Z;null
Living Room Sensor;2016-08-03T18:53:20.000Z;null
Living Room Sensor;2016-08-03T18:53:30.000Z;null
Living Room Sensor;2016-08-03T18:53:40.000Z;null
Living Room Sensor;2016-08-03T18:53:50.000Z;null
Living Room Sensor;2016-08-03T18:54:00.000Z;null
Living Room Sensor;2016-08-03T18:54:10.000Z;null
Living Room Sensor;2016-08-03T18:54:20.000Z;null
Living Room Sensor;2016-08-03T18:54:30.000Z;null
Living Room Sensor;2016-08-03T18:54:40.000Z;25.2
Living Room Sensor;2016-08-03T18:54:50.000Z;null
Living Room Sensor;2016-08-03T18:55:00.000Z;null
Living Room Sensor;2016-08-03T18:55:10.000Z;null
Living Room Sensor;2016-08-03T18:55:20.000Z;null
Living Room Sensor;2016-08-03T18:55:30.000Z;null
Living Room Sensor;2016-08-03T18:55:40.000Z;null
Living Room Sensor;2016-08-03T18:55:50.000Z;null
Living Room Sensor;2016-08-03T18:56:00.000Z;null
Living Room Sensor;2016-08-03T18:56:10.000Z;null
Living Room Sensor;2016-08-03T18:56:20.000Z;null
Living Room Sensor;2016-08-03T18:56:30.000Z;null
